"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Thaddeus Young","PF","TOR",54,54.5,17.6,69.2,-92,4.4,3.1,1.4,0.8,1,0.1
"Cade Cunningham","PG","DET",12,41.5,27.9,83.7,-60,19.9,6.2,6,3.2,0.8,0.6
"Haywood Highsmith","F","MIA",54,43.1,33.9,46.4,-103,4.4,3.5,0.8,0.8,0.7,0.3
"Jaxson Hayes","C","NOP",47,55.1,10.3,69.9,-70,5,2.8,0.7,0.7,0.4,0.4
"George Hill","PG","IND",46,47,35.8,76.4,41,5,1.8,2.4,0.7,0.6,0.1
"Day'Ron Sharpe","C","BKN",48,54.4,54.5,63.6,-101,4.7,4.2,0.8,0.9,0.3,0.7
"Dyson Daniels","G","NOP",59,41.8,31.4,65,-7,3.8,3.2,2.3,1,0.7,0.2
"Daishen Nix","SG","HOU",57,34.2,28.6,66.7,-151,4,1.7,2.3,1.5,0.5,0.1
"Usman Garuba","PF","HOU",75,48.6,40.7,61.7,-253,3,4.1,0.9,0.6,0.6,0.4
"Darius Bazley","PF","PHX",43,45.4,37.7,54.3,-70,5.2,3.2,0.9,0.6,0.5,0.8
"Miles McBride","PG","NYK",64,35.8,29.9,66.7,53,3.5,0.8,1.1,0.4,0.6,0.1
"Svi Mykhailiuk","SG","CHA",32,44.5,42.4,66.7,20,6.9,1.7,1.7,0.8,0.5,0.1
"Maxi Kleber","PF","DAL",37,45.6,34.8,71.1,-43,5.9,3.6,1.4,0.7,0.3,0.8
"Jabari Walker","F","POR",56,41.9,28.6,75.6,-115,3.9,2.3,0.6,0.5,0.2,0.2
"Lindy Waters III","F","OKC",41,39.3,35.8,80,136,5.2,1.8,0.7,0.2,0.3,0.3
"Ziaire Williams","F","MEM",37,42.9,25.8,77.3,-76,5.7,2.1,0.9,1,0.4,0.2
"Davis Bertans","SF","DAL",45,43.1,39,86.7,-37,4.6,1.2,0.5,0.2,0.2,0.2
"Dean Wade","PF","CLE",44,41.2,35.4,65.2,108,4.7,3.4,0.8,0.4,0.6,0.5
"Justin Holiday","SF","DAL",46,37.7,32.2,62.5,-129,4.5,1.2,0.9,0.5,0.4,0.4
"Charles Bassey","C","SAS",35,64.4,37.5,59.5,-32,5.7,5.5,1.4,1.2,0.5,0.9
"DeAndre Jordan","C","DEN",39,76.5,100,45.8,-119,5.1,5.2,0.9,1.2,0.3,0.6
"Dewayne Dedmon","C","PHI",38,51,30.8,67.3,-124,5.2,3.5,0.7,0.7,0.2,0.5
"Justise Winslow","PF","POR",29,40.9,31.1,71.4,-38,6.8,5,3.4,1.5,1,0.4
"Anthony Gill","PF","WAS",59,53.8,13.8,73.1,-12,3.3,1.7,0.6,0.3,0.1,0.2
"Caleb Houstan","G","ORL",51,36.3,33.8,83.3,-84,3.8,1.9,0.6,0.4,0.2,0.1
"Ousmane Dieng","F","OKC",39,42,26.5,65.2,39,4.9,2.7,1.2,0.7,0.4,0.2
"James Bouknight","SG","CHA",34,35.8,30.3,66.7,-97,5.6,2.1,1.2,0.9,0.4,0.1
"Keon Johnson","SG","POR",40,37.6,34.6,65.9,-153,4.7,1.1,1.5,1.1,0.5,0.1
"JaVale McGee","C","DAL",42,64,40,58.5,-57,4.4,2.5,0.3,0.9,0.1,0.6
"Blake Wesley","G","SAS",37,32.1,38.5,59.1,-198,5,2.2,2.6,1.8,0.7,0.1
"Rodney McGruder","G","DET",32,40.8,42.3,81.8,-44,5.7,2.3,0.9,0.3,0.5,0
"Christian Koloko","C","TOR",58,48,8.3,62.7,156,3.1,2.9,0.5,0.3,0.4,1
"Luka Garza","C","MIN",28,54.3,35.9,78.8,18,6.5,2.2,0.6,0.5,0.1,0.1
"Wesley Matthews","SG","MIL",52,36.3,31.5,85.7,53,3.4,2.2,0.7,0.3,0.4,0.2
"Jericho Sims","C","NYK",52,77.6,0,75,-113,3.4,4.7,0.5,0.5,0.3,0.5
"Stanley Johnson","SF","SAS",30,53.3,45,66.7,-92,5.8,3.2,2.2,1.1,0.5,0.2
"Amir Coffey","SG","LAC",50,38.6,27.5,77.8,-114,3.4,1.1,1.1,0.4,0.1,0.1
"Isaiah Roby","F","NYK",42,43.2,30,48.8,-110,4.1,2.6,0.9,0.7,0.4,0.2
"Ricky Rubio","PG","CLE",33,34.3,25.6,80,45,5.2,2.1,3.5,0.9,0.8,0.2
"Blake Griffin","PF","BOS",41,48.5,34.8,65.6,105,4.1,3.8,1.5,0.5,0.3,0.2
"Taj Gibson","F","WAS",49,52,33.3,71.4,-4,3.4,1.9,0.7,0.5,0.3,0.2
"Goga Bitadze","C","ORL",38,55.2,23.1,54.8,26,4.4,3.6,1,0.6,0.4,0.7
"Evan Fournier","SG","NYK",27,33.7,30.7,85.7,-54,6.1,1.8,1.3,0.8,0.6,0.1
"Javonte Green","SF","CHI",32,56.5,37.1,66.7,48,5.2,2.8,0.7,0.6,0.8,0.7
"Julian Champagnie","F","SAS",17,45.4,40.2,82.4,-74,9.7,3.5,0.6,0.6,0.4,0.3
"Johnny Davis","G","WAS",28,38.6,24.3,51.9,-54,5.8,2.3,1,0.6,0.4,0.3
"Jordan McLaughlin","PG","MIN",43,42.1,30.8,83.3,84,3.7,1.4,3.4,0.8,0.7,0.1
"Kai Jones","PF","CHA",46,55.8,21.1,73.1,-32,3.4,2.7,0.3,0.7,0.4,0.7
"Raul Neto","PG","CLE",48,51.8,28.6,91.2,11,3.3,1,1.6,0.5,0.4,0.1
"Admiral Schofield","SF","ORL",37,45.1,32.4,91.3,-79,4.2,1.7,0.8,0.4,0.2,0.1
"Juan Toscano-Anderson","SF","UTA",52,44.8,18.6,79.2,-147,3,2.4,1.2,0.7,0.3,0.2
