"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Mfiondu Kabengele",82,250,"Florida State","Canada","2019","1","27","C","BOS",4,28.6,0,100,-5,1.5,2.5,0,0.2,0.5,0
"Micah Potter",80,248,"Wisconsin","USA","Undrafted","Undrafted","Undrafted","C","UTA",7,66.7,57.1,0,-3,3.4,2.3,0.6,0.3,0.1,0
"Michael Carter-Williams",77,190,"Syracuse","USA","2013","1","11","G","ORL",4,42.9,33.3,57.1,-26,4.2,1.2,1.8,1,0.2,0.2
"Michael Foster Jr.",80,250,"None","USA","Undrafted","Undrafted","Undrafted","N/A","PHI",1,0,0,0,-2,0,0,0,0,0,0
"Michael Porter Jr.",82,218,"Missouri","USA","2018","1","14","SF","DEN",62,48.7,41.4,80,418,17.4,5.5,1,1.1,0.6,0.5
"Mikal Bridges",78,209,"Villanova","USA","2018","1","10","SF","BKN",83,46.8,38.2,89.5,36,20.1,4.4,3.3,1.5,1.1,0.7
"Mike Conley",73,175,"Ohio State","USA","2007","1","4","PG","MIN",67,42.8,38.5,83.4,60,11.9,2.7,6.7,1.5,1.1,0.2
"Mike Muscala",83,240,"Bucknell","USA","2013","2","44","C","BOS",63,44.9,39.1,76.9,204,6.1,3.2,0.8,0.4,0.2,0.4
"Miles McBride",74,195,"West Virginia","USA","2021","2","36","PG","NYK",64,35.8,29.9,66.7,53,3.5,0.8,1.1,0.4,0.6,0.1
"Mitchell Robinson",84,240,"Western Kentucky","USA","2018","2","36","C","NYK",59,67.1,0,48.4,185,7.4,9.4,0.9,0.7,0.9,1.8
"Mo Bamba",84,231,"Texas","USA","2018","1","6","C","LAL",49,48.5,38.7,66.1,8,6.6,4.6,0.9,0.6,0.3,0.9
"Montrezl Harrell",79,240,"Louisville","USA","2015","2","32","C","PHI",57,59.8,0,69.3,19,5.6,2.8,0.6,0.6,0.3,0.4
"Moritz Wagner",83,245,"Michigan","Germany","2018","1","25","C","ORL",57,50,31.3,84.1,-27,10.5,4.5,1.5,1.2,0.6,0.2
"Moses Brown",86,245,"UCLA","USA","Undrafted","Undrafted","Undrafted","C","BKN",36,63.5,0,45.8,27,4.3,3.9,0.1,0.4,0.1,0.4
